time,ppm,temperature,humidity
94.000,2.4133,24.169,41.662
95.000,2.5949,24.198,41.604
96.000,2.0375,24.226,41.548
97.000,2.5336,24.254,41.492
98.000,1.9280,24.281,41.437
99.000,1.8287,24.308,41.384
100.000,2.3528,24.334,41.331
101.000,2.1789,24.360,41.279
102.000,2.5029,24.386,41.228
103.000,3.1318,24.411,41.178
104.000,2.2136,24.435,41.130
105.000,2.2807,24.459,41.082
106.000,2.5342,24.483,41.035
107.000,2.6252,24.506,40.989
108.000,2.4290,24.528,40.944
109.000,2.4248,24.550,40.900
110.000,2.7019,24.572,40.857
111.000,2.6517,24.593,40.815
112.000,2.1902,24.613,40.774
113.000,2.4811,24.633,40.734
114.000,2.5200,24.653,40.695
115.000,2.1976,24.671,40.657
116.000,2.5964,24.690,40.620
117.000,2.2655,24.708,40.584
118.000,2.8190,24.725,40.549
119.000,2.5896,24.742,40.516
120.000,2.5630,24.759,40.483
121.000,2.3633,24.774,40.451
122.000,2.5094,24.790,40.421
123.000,1.9500,24.804,40.391
124.000,2.2142,24.819,40.363
125.000,2.6668,24.832,40.335
126.000,1.9237,24.846,40.309
127.000,2.8205,24.858,40.283
128.000,2.0469,24.870,40.259
129.000,2.8020,24.882,40.236
130.000,2.3255,24.893,40.214
131.000,2.8170,24.904,40.193
132.000,2.6267,24.914,40.173
133.000,2.1305,24.923,40.154
134.000,2.9704,24.932,40.136
135.000,3.0323,24.940,40.119
136.000,2.5841,24.948,40.104
137.000,2.5257,24.955,40.089
138.000,2.5639,24.962,40.076
139.000,2.3233,24.968,40.064
140.000,2.9494,24.974,40.052
141.000,2.4608,24.979,40.042
142.000,2.6123,24.983,40.033
143.000,2.3935,24.987,40.025
144.000,2.4476,24.991,40.018
145.000,2.2559,24.994,40.012
146.000,3.0201,24.996,40.008
147.000,2.6006,24.998,40.004
148.000,2.9404,24.999,40.002
149.000,2.6583,25.000,40.000
150.000,2.4497,25.000,40.000
151.000,2.5637,25.000,40.001
152.000,2.4973,24.999,40.003
153.000,2.6714,24.997,40.006
154.000,2.5601,24.995,40.010
155.000,2.5863,24.992,40.015
156.000,2.2662,24.989,40.021
157.000,2.4413,24.986,40.029
158.000,3.1831,24.981,40.037
159.000,2.4890,24.976,40.047
160.000,2.3776,24.971,40.058
161.000,2.7984,24.965,40.070
162.000,3.1228,24.959,40.082
163.000,2.2678,24.952,40.096
164.000,2.6448,24.944,40.112
165.000,2.5211,24.936,40.128
166.000,2.1857,24.928,40.145
167.000,2.9378,24.918,40.163
168.000,2.7135,24.909,40.183
169.000,2.7452,24.898,40.203
170.000,2.5013,24.888,40.225
171.000,2.8666,24.876,40.247
172.000,2.5715,24.864,40.271
173.000,2.6935,24.852,40.296
174.000,2.4070,24.839,40.322
175.000,2.3777,24.826,40.349
176.000,3.1462,24.812,40.377
177.000,2.5965,24.797,40.406
178.000,2.8391,24.782,40.436
179.000,2.7444,24.766,40.467
180.000,2.6251,24.750,40.499
181.000,2.6080,24.734,40.532
182.000,2.9522,24.717,40.567
183.000,2.6755,24.699,40.602
184.000,2.7234,24.681,40.638
185.000,2.7783,24.662,40.676
186.000,3.1274,24.643,40.714
187.000,2.9813,24.623,40.754
188.000,2.8946,24.603,40.794
189.000,2.6135,24.582,40.836
190.000,2.3706,24.561,40.878
191.000,3.0727,24.539,40.922
192.000,3.0803,24.517,40.966
193.000,2.7507,24.494,41.012
194.000,2.9581,24.471,41.058
195.000,3.0324,24.447,41.105
196.000,3.0498,24.423,41.154
197.000,3.0793,24.398,41.203
198.000,2.6687,24.373,41.254
199.000,3.2622,24.348,41.305
200.000,2.4361,24.321,41.357
201.000,3.0710,24.295,41.411
202.000,2.9629,24.268,41.465
203.000,3.0791,24.240,41.520
204.000,3.3830,24.212,41.576
205.000,3.2668,24.184,41.633
206.000,2.4801,24.155,41.691
207.000,2.3193,24.125,41.750
208.000,3.0731,24.095,41.809
209.000,2.5256,24.065,41.870
210.000,2.8285,24.034,41.931
211.000,3.0861,24.003,41.994
212.000,2.3431,23.971,42.057
213.000,2.2052,23.939,42.121
214.000,2.9180,23.907,42.186
215.000,2.8554,23.874,42.252
216.000,2.7703,23.841,42.319
217.000,2.8575,23.807,42.387
218.000,2.5896,23.772,42.455
219.000,2.3955,23.738,42.524
220.000,2.8014,23.703,42.594
221.000,2.5616,23.667,42.665
222.000,2.3618,23.632,42.737
223.000,3.0082,23.595,42.809
224.000,2.8398,23.559,42.883
225.000,2.9818,23.522,42.957
226.000,2.5647,23.484,43.032
227.000,2.6656,23.446,43.107
228.000,2.5649,23.408,43.184
229.000,2.6001,23.370,43.261
230.000,2.9262,23.331,43.339
231.000,2.6342,23.291,43.417
232.000,2.9773,23.252,43.497
233.000,2.9738,23.212,43.577
234.000,3.4808,23.171,43.657
235.000,2.4568,23.131,43.739
236.000,3.1423,23.090,43.821
237.000,2.8504,23.048,43.904
238.000,2.8743,23.006,43.987
239.000,2.4448,22.964,44.071
240.000,6.7429,22.922,44.156
241.000,7.1051,22.879,44.242
242.000,6.8585,22.836,44.328
243.000,6.9087,22.793,44.414
244.000,6.7982,22.749,44.502
245.000,7.2328,22.705,44.590
246.000,6.8811,22.661,44.678
247.000,6.2284,22.616,44.767
248.000,6.6818,22.572,44.857
249.000,6.2998,22.526,44.947
250.000,5.9159,22.481,45.038
251.000,6.7331,22.435,45.129
252.000,7.2931,22.389,45.221
253.000,6.9080,22.343,45.314
254.000,6.5429,22.297,45.406
255.000,6.6132,22.250,45.500
256.000,7.2353,22.203,45.594
257.000,6.9441,22.156,45.688
258.000,6.9119,22.108,45.783
259.000,6.8821,22.061,45.878
260.000,6.9103,22.013,45.974
261.000,7.1410,21.965,46.070
262.000,7.0657,21.916,46.167
263.000,6.9651,21.868,46.264
264.000,6.5880,21.819,46.362
265.000,7.0547,21.770,46.460
266.000,6.6965,21.721,46.558
267.000,7.2304,21.672,46.657
268.000,6.5213,21.622,46.756
269.000,6.8617,21.572,46.855
270.000,6.9011,21.523,46.955
271.000,6.5062,21.473,47.055
272.000,7.4204,21.422,47.155
273.000,7.3422,21.372,47.256
274.000,6.7652,21.322,47.357
275.000,7.1360,21.271,47.458
276.000,7.0182,21.220,47.560
277.000,6.1207,21.169,47.662
278.000,6.9799,21.118,47.764
279.000,6.8865,21.067,47.866
280.000,6.9299,21.016,47.969
281.000,6.5819,20.964,48.072
282.000,6.8241,20.913,48.175
283.000,6.8514,20.861,48.278
284.000,7.2612,20.809,48.381
285.000,7.0050,20.758,48.485
286.000,6.9029,20.706,48.589
287.000,7.3631,20.654,48.693
288.000,6.7376,20.602,48.797
289.000,6.7872,20.550,48.901
290.000,6.3587,20.497,49.005
291.000,7.3742,20.445,49.110
292.000,7.1925,20.393,49.214
293.000,7.1779,20.341,49.319
294.000,7.1031,20.288,49.423
295.000,6.9351,20.236,49.528
296.000,6.9663,20.184,49.633
297.000,6.8256,20.131,49.738
298.000,6.8397,20.079,49.843
299.000,6.9165,20.026,49.948
300.000,7.3533,19.974,50.052
301.000,7.0659,19.921,50.157
302.000,6.8811,19.869,50.262
303.000,6.7242,19.816,50.367
304.000,6.7069,19.764,50.472
305.000,7.3775,19.712,50.577
306.000,7.0480,19.659,50.681
307.000,6.9156,19.607,50.786
308.000,6.7907,19.555,50.890
309.000,6.5611,19.503,50.995
310.000,6.8729,19.450,51.099
311.000,7.1543,19.398,51.203
312.000,6.7736,19.346,51.307
313.000,6.8223,19.294,51.411
314.000,6.8232,19.242,51.515
315.000,6.9215,19.191,51.619
316.000,6.4097,19.139,51.722
317.000,6.8160,19.087,51.825
318.000,6.6293,19.036,51.928
319.000,7.1500,18.984,52.031
320.000,6.6524,18.933,52.134
321.000,7.0556,18.882,52.236
322.000,7.3387,18.831,52.338
323.000,6.7861,18.780,52.440
324.000,6.6986,18.729,52.542
325.000,6.9353,18.678,52.643
326.000,6.8760,18.628,52.744
327.000,6.5773,18.578,52.845
328.000,7.0124,18.527,52.945
329.000,7.4775,18.477,53.045
330.000,6.7941,18.428,53.145
331.000,6.8093,18.378,53.244
332.000,6.5553,18.328,53.343
333.000,6.9631,18.279,53.442
334.000,6.4919,18.230,53.540
335.000,6.5324,18.181,53.638
336.000,7.2470,18.132,53.736
337.000,6.5899,18.084,53.833
338.000,7.1844,18.035,53.930
339.000,7.3158,17.987,54.026
340.000,6.9347,17.939,54.122
341.000,7.0213,17.892,54.217
342.000,7.4394,17.844,54.312
343.000,6.7930,17.797,54.406
344.000,6.6725,17.750,54.500
345.000,6.4427,17.703,54.594
346.000,6.8595,17.657,54.686
347.000,7.2890,17.611,54.779
348.000,7.1313,17.565,54.871
349.000,6.5591,17.519,54.962
350.000,6.5833,17.474,55.053
351.000,6.6868,17.428,55.143
352.000,6.9238,17.384,55.233
353.000,6.7727,17.339,55.322
354.000,6.8967,17.295,55.410
355.000,6.9195,17.251,55.498
356.000,6.7389,17.207,55.586
357.000,6.8145,17.164,55.672
358.000,6.8865,17.121,55.758
359.000,6.7973,17.078,55.844
360.000,2.9715,17.036,55.929
361.000,3.3796,16.994,56.013
362.000,2.9939,16.952,56.096
363.000,2.8309,16.910,56.179
364.000,2.3062,16.869,56.261
365.000,2.9262,16.829,56.343
366.000,2.2237,16.788,56.423
367.000,2.3828,16.748,56.503
368.000,3.0596,16.709,56.583
369.000,3.0129,16.669,56.661
370.000,2.7537,16.630,56.739
371.000,2.2834,16.592,56.816
372.000,2.6827,16.554,56.893
373.000,2.5882,16.516,56.968
374.000,2.9805,16.478,57.043
375.000,3.4644,16.441,57.117
376.000,2.8497,16.405,57.191
377.000,2.5484,16.368,57.263
378.000,2.4286,16.333,57.335
379.000,2.7605,16.297,57.406
380.000,2.7218,16.262,57.476
381.000,2.4268,16.228,57.545
382.000,2.8047,16.193,57.613
383.000,2.4220,16.159,57.681
384.000,3.0983,16.126,57.748
385.000,3.0809,16.093,57.814
386.000,3.0849,16.061,57.879
387.000,2.6146,16.029,57.943
388.000,2.9085,15.997,58.006
389.000,2.7119,15.966,58.069
390.000,2.6322,15.935,58.130
391.000,2.6443,15.905,58.191
392.000,2.3534,15.875,58.250
393.000,2.3074,15.845,58.309
394.000,2.9761,15.816,58.367
395.000,2.6777,15.788,58.424
396.000,2.7972,15.760,58.480
397.000,3.0299,15.732,58.535
398.000,2.2066,15.705,58.589
399.000,2.4884,15.679,58.643
400.000,2.7734,15.652,58.695
401.000,2.8355,15.627,58.746
402.000,2.6018,15.602,58.797
403.000,3.0208,15.577,58.846
404.000,2.7722,15.553,58.895
405.000,2.3421,15.529,58.942
406.000,2.4238,15.506,58.988
407.000,2.9417,15.483,59.034
408.000,2.8362,15.461,59.078
409.000,2.1242,15.439,59.122
410.000,3.0952,15.418,59.164
411.000,2.8672,15.397,59.206
412.000,3.0877,15.377,59.246
413.000,2.5665,15.357,59.286
414.000,2.5897,15.338,59.324
415.000,2.3373,15.319,59.362
416.000,3.4332,15.301,59.398
417.000,2.6162,15.283,59.433
418.000,3.1419,15.266,59.468
419.000,2.4682,15.250,59.501
420.000,2.7083,15.234,59.533
421.000,2.1545,15.218,59.564
422.000,2.5378,15.203,59.594
423.000,2.9445,15.188,59.623
424.000,2.2705,15.174,59.651
425.000,2.9644,15.161,59.678
426.000,2.7405,15.148,59.704
427.000,2.3228,15.136,59.729
428.000,2.4821,15.124,59.753
429.000,2.4915,15.112,59.775
430.000,2.6109,15.102,59.797
431.000,2.4615,15.091,59.817
432.000,2.3707,15.082,59.837
433.000,2.5241,15.072,59.855
434.000,2.3039,15.064,59.872
435.000,2.2216,15.056,59.888
436.000,2.5905,15.048,59.904
437.000,2.8663,15.041,59.918
438.000,2.1391,15.035,59.930
439.000,2.5954,15.029,59.942
440.000,2.3958,15.024,59.953
441.000,2.2941,15.019,59.963
442.000,2.8397,15.014,59.971
443.000,2.4246,15.011,59.979
444.000,3.0259,15.008,59.985
445.000,2.3388,15.005,59.990
446.000,2.6850,15.003,59.994
447.000,2.4972,15.001,59.997
448.000,2.3355,15.000,59.999
449.000,2.7343,15.000,60.000
450.000,2.5078,15.000,60.000
451.000,2.7316,15.001,59.998
452.000,2.5327,15.002,59.996
453.000,2.2174,15.004,59.992
454.000,2.5087,15.006,59.988
455.000,2.5511,15.009,59.982
456.000,2.8193,15.013,59.975
457.000,2.2561,15.017,59.967
458.000,2.5123,15.021,59.958
459.000,2.0037,15.026,59.948
460.000,2.7119,15.032,59.936
461.000,2.1882,15.038,59.924
462.000,1.9668,15.045,59.911
463.000,2.4871,15.052,59.896
464.000,2.8326,15.060,59.881
465.000,2.0397,15.068,59.864
466.000,2.1667,15.077,59.846
467.000,2.2662,15.086,59.827
468.000,2.1464,15.096,59.807
469.000,2.5951,15.107,59.786
470.000,2.2351,15.118,59.764
471.000,2.2569,15.130,59.741
472.000,2.6443,15.142,59.717
473.000,2.2387,15.154,59.691
474.000,2.5911,15.168,59.665
475.000,2.1659,15.181,59.637
476.000,2.0896,15.196,59.609
477.000,1.8985,15.210,59.579
478.000,3.0035,15.226,59.549
479.000,2.3450,15.241,59.517
480.000,2.5101,15.258,59.484
481.000,2.4236,15.275,59.451
482.000,2.4768,15.292,59.416
483.000,2.4396,15.310,59.380
484.000,2.9930,15.329,59.343
485.000,2.1047,15.347,59.305
486.000,1.9450,15.367,59.266
487.000,2.1045,15.387,59.226
488.000,2.0035,15.407,59.185
489.000,2.6238,15.428,59.143
490.000,2.6417,15.450,59.100
491.000,2.1029,15.472,59.056
492.000,1.9700,15.494,59.011
493.000,2.2765,15.517,58.965
494.000,2.7960,15.541,58.918
495.000,1.5286,15.565,58.870
496.000,2.5282,15.589,58.822
497.000,2.0432,15.614,58.772
498.000,2.6738,15.640,58.721
499.000,2.0340,15.666,58.669
500.000,2.2675,15.692,58.616
501.000,1.8970,15.719,58.563
502.000,2.0514,15.746,58.508
503.000,2.7560,15.774,58.452
504.000,2.5821,15.802,58.396
505.000,2.2111,15.831,58.338
506.000,2.0662,15.860,58.280
507.000,1.7548,15.890,58.221
508.000,2.2005,15.920,58.160
509.000,2.3049,15.950,58.099
510.000,2.2846,15.981,58.037
511.000,2.2773,16.013,57.975
512.000,1.9645,16.045,57.911
513.000,2.2768,16.077,57.846
514.000,2.2807,16.110,57.781
515.000,2.6750,16.143,57.714
516.000,2.8435,16.176,57.647
517.000,2.2379,16.210,57.579
518.000,2.0447,16.245,57.510
519.000,2.2507,16.280,57.441
520.000,2.0834,16.315,57.370
521.000,2.0385,16.350,57.299
522.000,2.2392,16.387,57.227
523.000,1.9394,16.423,57.154
524.000,2.4297,16.460,57.080
525.000,2.2122,16.497,57.006
526.000,2.3139,16.535,56.931
527.000,2.1796,16.573,56.855
528.000,2.0118,16.611,56.778
529.000,1.9410,16.650,56.700
530.000,2.1497,16.689,56.622
531.000,2.0518,16.728,56.543
532.000,2.2821,16.768,56.464
533.000,2.2060,16.808,56.383
534.000,1.7941,16.849,56.302
535.000,2.2184,16.890,56.220
536.000,1.7909,16.931,56.138
537.000,2.0043,16.973,56.055
538.000,2.0963,17.015,55.971
539.000,1.5575,17.057,55.886
540.000,2.2030,17.099,55.801
541.000,2.2162,17.142,55.715
542.000,2.1190,17.185,55.629
543.000,2.0345,17.229,55.542
544.000,2.0451,17.273,55.454
545.000,1.8597,17.317,55.366
546.000,2.0671,17.361,55.277
547.000,1.9776,17.406,55.188
548.000,2.1663,17.451,55.098
549.000,1.7730,17.496,55.008
550.000,2.2003,17.542,54.916
551.000,2.1679,17.588,54.825
552.000,2.0779,17.634,54.733
553.000,1.9840,17.680,54.640
554.000,2.2768,17.727,54.547
555.000,1.6071,17.773,54.453
556.000,2.2400,17.820,54.359
557.000,2.1701,17.868,54.264
558.000,2.1775,17.915,54.169
559.000,2.2029,17.963,54.074
560.000,1.8871,18.011,53.978
561.000,2.0007,18.059,53.881
562.000,2.2650,18.108,53.784
563.000,2.1984,18.156,53.687
564.000,2.1266,18.205,53.589
565.000,1.6056,18.254,53.491
566.000,2.2166,18.304,53.393
567.000,2.4014,18.353,53.294
568.000,2.3488,18.403,53.195
569.000,2.1114,18.452,53.095
570.000,1.5692,18.502,52.995
571.000,2.3146,18.552,52.895
572.000,1.9830,18.603,52.794
573.000,1.2627,18.653,52.694
574.000,2.1309,18.704,52.592
575.000,1.5654,18.755,52.491
576.000,1.6195,18.805,52.389
577.000,1.8132,18.856,52.287
578.000,2.3808,18.907,52.185
579.000,1.8830,18.959,52.083
580.000,2.0709,19.010,51.980
581.000,2.5093,19.062,51.877
582.000,2.4584,19.113,51.774
583.000,1.9445,19.165,51.670
584.000,1.8983,19.217,51.567
585.000,1.5878,19.268,51.463
586.000,1.7530,19.320,51.359
587.000,2.0842,19.372,51.255
588.000,2.0706,19.424,51.151
589.000,1.9803,19.476,51.047
590.000,2.2409,19.529,50.943
591.000,1.7060,19.581,50.838
592.000,1.9162,19.633,50.734
593.000,2.1477,19.686,50.629
594.000,2.0988,19.738,50.524
595.000,2.2402,19.790,50.419
596.000,2.0333,19.843,50.315
597.000,1.8166,19.895,50.210
598.000,2.0134,19.948,50.105
599.000,1.5992,20.000,50.000
