time_ms,voltage_V,Rs_ohm,temp_C,humidity_pct,pressure_hPa
126697,0.5539,80273.1,25.32,47.73,993.94
128697,0.5558,79968.5,25.32,47.72,993.94
130697,0.5548,80120.5,25.31,47.69,993.93
132697,0.5554,80029.3,25.32,47.69,993.92
134697,0.5548,80120.5,25.31,47.72,993.96
136697,0.5558,79968.5,25.31,47.74,993.95
138697,0.5554,80029.3,25.31,47.72,993.96
140697,0.5554,80029.3,25.31,47.72,993.93
142697,0.5554,80029.3,25.31,47.73,993.92
144697,0.5550,80090.1,25.30,47.75,993.94
146697,0.5550,80090.1,25.31,47.79,993.96
148697,0.5558,79968.5,25.30,47.80,993.95
150697,0.5558,79968.5,25.30,47.81,993.95
152697,0.5554,80029.3,25.30,47.85,993.95
154697,0.5554,80029.3,25.29,47.88,993.94
156697,0.5541,80242.5,25.29,47.89,993.92
158697,0.5535,80334.2,25.29,47.87,993.93
160697,0.5533,80364.9,25.29,47.86,993.93
162697,0.5537,80303.6,25.29,48.01,993.93
164697,0.5533,80364.9,25.29,47.87,993.93
166697,0.5537,80303.6,25.29,47.82,993.91
168697,0.5537,80303.6,25.28,47.76,993.93
170697,0.5539,80273.1,25.29,47.76,993.93
172697,0.5529,80426.1,25.28,47.76,993.91
174697,0.5527,80456.8,25.28,47.75,993.95
176697,0.5537,80303.6,25.27,47.79,993.92
178697,0.5537,80303.6,25.27,47.83,993.90
180697,0.5541,80242.5,25.27,47.87,993.93
182697,0.5539,80273.1,25.27,47.86,993.94
184697,0.5548,80120.5,25.27,47.81,993.93
186697,0.5550,80090.1,25.27,47.81,993.92
188697,0.5548,80120.5,25.27,47.80,993.93
190697,0.5558,79968.5,25.27,47.75,993.96
192697,0.5559,79938.2,25.26,47.76,993.94
194697,0.5554,80029.3,25.26,47.85,993.96
196697,0.5561,79907.8,25.26,47.86,993.95
198697,0.5561,79907.8,25.26,47.86,993.95
200697,0.5558,79968.5,25.27,47.85,993.95
202697,0.5558,79968.5,25.26,47.81,993.93
204697,0.5554,80029.3,25.26,47.82,993.92
206697,0.5552,80059.7,25.26,47.84,993.96
208697,0.5554,80029.3,25.26,47.90,993.96
210697,0.5550,80090.1,25.25,47.89,993.97
212697,0.5550,80090.1,25.25,47.84,993.95
214697,0.5541,80242.5,25.25,47.85,993.95
216697,0.5541,80242.5,25.25,47.83,993.95
218697,0.5537,80303.6,25.25,48.01,993.94
220697,0.5531,80395.5,25.25,47.83,993.95
222697,0.5537,80303.6,25.24,47.84,993.98
224697,0.5533,80364.9,25.24,47.67,993.95
226697,0.5533,80364.9,25.24,47.83,993.95
228697,0.5529,80426.1,25.24,47.82,993.97
230697,0.5541,80242.5,25.24,47.90,993.95
232697,0.5527,80456.8,25.24,47.85,993.95
234697,0.5544,80181.5,25.24,47.86,993.94
236697,0.5531,80395.5,25.24,47.84,993.96
238697,0.5537,80303.6,25.24,47.87,993.97
240697,0.5546,80151.0,25.24,47.86,993.95
242697,0.5550,80090.1,25.24,47.84,993.97
244697,0.5554,80029.3,25.24,47.86,993.97
246697,0.5554,80029.3,25.23,47.85,993.97
248697,0.5556,79998.9,25.24,47.87,993.96
250697,0.5558,79968.5,25.23,47.87,993.99
252697,0.5554,80029.3,25.23,47.88,993.93
254697,0.5558,79968.5,25.23,47.82,993.95
256697,0.5556,79998.9,25.24,47.84,993.96
258697,0.5563,79877.5,25.23,47.85,993.96
260697,0.5558,79968.5,25.22,47.84,993.96
262697,0.5550,80090.1,25.23,47.86,993.96
264697,0.5558,79968.5,25.22,47.84,993.97
266697,0.5558,79968.5,25.22,47.86,993.94
268697,0.5558,79968.5,25.22,47.86,993.97
270697,0.5554,80029.3,25.22,47.87,993.95
272697,0.5544,80181.5,25.21,47.87,993.96
274697,0.5550,80090.1,25.22,47.89,993.97
276697,0.5541,80242.5,25.21,47.91,993.95
278697,0.5533,80364.9,25.21,47.94,993.96
280697,0.5533,80364.9,25.21,47.94,993.98
282697,0.5537,80303.6,25.21,47.93,993.98
284697,0.5544,80181.5,25.21,47.92,993.98
286697,0.5535,80334.2,25.21,47.92,993.99
288697,0.5529,80426.1,25.21,47.93,993.96
290697,0.5531,80395.5,25.21,48.00,993.97
292697,0.5537,80303.6,25.21,48.01,993.97
294697,0.5531,80395.5,25.21,48.02,993.94
296697,0.5539,80273.1,25.21,47.97,993.94
298697,0.5531,80395.5,25.21,47.93,993.96
300697,0.5539,80273.1,25.21,47.95,993.97
302697,0.5533,80364.9,25.21,47.92,993.96
304697,0.5537,80303.6,25.20,47.92,993.95
306697,0.5541,80242.5,25.20,47.90,994.01
308697,0.5537,80303.6,25.20,47.93,993.98
310697,0.5541,80242.5,25.20,48.08,993.96
312697,0.5541,80242.5,25.20,47.92,993.99
314697,0.5539,80273.1,25.19,47.93,993.98
316697,0.5546,80151.0,25.19,48.00,993.98
318697,0.5537,80303.6,25.20,47.92,993.99
320697,0.5552,80059.7,25.20,47.95,993.96
322697,0.5558,79968.5,25.20,47.98,993.98
324697,0.5554,80029.3,25.20,47.97,993.96
326697,0.5554,80029.3,25.19,47.96,993.96
328697,0.5554,80029.3,25.18,48.00,993.96
330697,0.5554,80029.3,25.19,47.95,993.95
332697,0.5554,80029.3,25.19,47.90,993.98
334697,0.5558,79968.5,25.18,47.95,994.01
336697,0.5554,80029.3,25.18,47.96,993.95
338697,0.5561,79907.8,25.19,47.97,993.96
340697,0.5556,79998.9,25.19,47.99,993.96
342697,0.5556,79998.9,25.18,48.00,993.97
344697,0.5558,79968.5,25.18,47.99,993.98
346697,0.5554,80029.3,25.18,47.98,993.99
348697,0.5567,79817.0,25.18,47.98,993.97
350697,0.5561,79907.8,25.18,47.97,994.01
352697,0.5554,80029.3,25.18,47.95,994.00
354697,0.5554,80029.3,25.18,47.95,993.98
356697,0.5559,79938.2,25.18,47.95,994.01
358697,0.5548,80120.5,25.17,47.96,993.99
360697,0.5554,80029.3,25.17,47.97,993.98
362697,0.5559,79938.2,25.17,47.97,993.98
364697,0.5559,79938.2,25.17,47.98,994.01
366697,0.5558,79968.5,25.17,47.99,993.99
368697,0.5561,79907.8,25.17,47.99,994.00
370697,0.5556,79998.9,25.17,47.98,993.99
372697,0.5550,80090.1,25.17,47.98,993.99
374697,0.5554,80029.3,25.17,47.99,993.97
376697,0.5554,80029.3,25.16,48.00,994.00
378697,0.5554,80029.3,25.17,47.97,994.00
380697,0.5558,79968.5,25.16,47.98,993.99
382697,0.5546,80151.0,25.16,47.97,994.02
384697,0.5552,80059.7,25.16,47.96,994.01
386697,0.5535,80334.2,25.16,47.97,994.01
388697,0.5541,80242.5,25.16,47.95,993.97
390697,0.5537,80303.6,25.16,47.97,993.99
392697,0.5543,80212.0,25.16,47.98,994.01
394697,0.5537,80303.6,25.16,47.99,993.99
396697,0.5537,80303.6,25.16,47.99,993.98
398697,0.5537,80303.6,25.15,48.00,993.96
400697,0.5541,80242.5,25.16,47.99,994.01
402697,0.5537,80303.6,25.16,47.98,993.98
404697,0.5539,80273.1,25.16,47.97,993.98
406697,0.5529,80426.1,25.16,47.98,994.01
408697,0.5529,80426.1,25.15,47.98,993.96
410697,0.5535,80334.2,25.16,48.03,993.96
412697,0.5531,80395.5,25.16,48.05,993.99
414697,0.5535,80334.2,25.16,48.05,993.98
416697,0.5539,80273.1,25.15,48.03,993.96
418697,0.5537,80303.6,25.15,48.05,994.00
420697,0.5539,80273.1,25.15,48.05,993.99
422697,0.5535,80334.2,25.15,48.04,993.98
424697,0.5543,80212.0,25.15,48.04,994.01
426697,0.5539,80273.1,25.15,48.05,993.98
428697,0.5533,80364.9,25.15,48.06,993.99
430697,0.5539,80273.1,25.15,48.05,993.98
432697,0.5535,80334.2,25.15,48.06,993.95
434697,0.5537,80303.6,25.14,48.05,993.99
436697,0.5544,80181.5,25.15,48.05,993.98
438697,0.5533,80364.9,25.15,48.05,993.98
440697,0.5544,80181.5,25.14,48.04,993.98
442697,0.5544,80181.5,25.14,48.05,993.99
444697,0.5544,80181.5,25.14,47.92,993.98
446697,0.5541,80242.5,25.14,48.01,994.00
448697,0.5552,80059.7,25.14,48.01,993.97
450697,0.5548,80120.5,25.14,47.93,993.99
452697,0.5554,80029.3,25.14,48.02,993.99
454697,0.5548,80120.5,25.14,48.01,993.96
456697,0.5552,80059.7,25.14,47.91,993.99
458697,0.5548,80120.5,25.14,48.04,993.99
460697,0.5554,80029.3,25.14,48.09,994.00
462697,0.5561,79907.8,25.14,48.05,993.98
464697,0.5554,80029.3,25.14,48.04,993.97
466697,0.5554,80029.3,25.14,48.04,993.95
468697,0.5558,79968.5,25.14,48.14,993.96
470697,0.5554,80029.3,25.14,48.04,993.97
472697,0.5554,80029.3,25.14,48.04,994.02
474697,0.5559,79938.2,25.14,48.06,993.98
476697,0.5558,79968.5,25.14,48.04,993.98
478697,0.5559,79938.2,25.14,48.04,993.97
480697,0.5559,79938.2,25.14,48.04,993.96
482697,0.5559,79938.2,25.13,48.05,993.97
484697,0.5558,79968.5,25.13,48.05,993.99
486697,0.5563,79877.5,25.13,48.06,993.96
488697,0.5558,79968.5,25.13,48.07,993.96
490697,0.5559,79938.2,25.13,48.04,993.96
492697,0.5548,80120.5,25.13,48.04,993.98
494697,0.5558,79968.5,25.13,48.05,993.95
496697,0.5559,79938.2,25.13,48.04,994.00
498697,0.5558,79968.5,25.13,48.02,994.01
500697,0.5552,80059.7,25.13,48.02,993.97
502697,0.5567,79817.0,25.13,48.04,993.97
504697,0.5567,79817.0,25.12,48.04,993.98
506697,0.5554,80029.3,25.13,48.03,993.97
508697,0.5554,80029.3,25.13,48.06,994.01
510697,0.5554,80029.3,25.12,48.07,994.00
512697,0.5544,80181.5,25.13,48.07,994.00
514697,0.5539,80273.1,25.12,48.08,994.00
516697,0.5541,80242.5,25.12,48.08,993.98
518697,0.5531,80395.5,25.12,48.08,993.99
520697,0.5533,80364.9,25.12,48.07,993.98
522697,0.5537,80303.6,25.12,48.08,993.98
524697,0.5541,80242.5,25.12,48.06,994.01
526697,0.5541,80242.5,25.12,48.07,993.97
528697,0.5541,80242.5,25.11,48.07,993.99
530697,0.5537,80303.6,25.11,48.08,993.97
532697,0.5544,80181.5,25.12,48.06,993.99
534697,0.5533,80364.9,25.12,48.07,993.95
536697,0.5541,80242.5,25.12,48.06,993.98
538697,0.5539,80273.1,25.12,48.07,993.96
540697,0.5533,80364.9,25.12,48.06,993.96
542697,0.5539,80273.1,25.12,48.04,993.94
544697,0.5537,80303.6,25.12,48.04,993.98
546697,0.5537,80303.6,25.12,48.06,993.96
548697,0.5533,80364.9,25.12,47.98,993.99
550697,0.5533,80364.9,25.13,48.07,993.96
552697,0.5533,80364.9,25.12,48.07,993.96
554697,0.5544,80181.5,25.11,48.07,993.93
556697,0.5541,80242.5,25.12,48.08,993.96
558697,0.5548,80120.5,25.11,48.07,993.97
560697,0.5548,80120.5,25.11,48.18,993.97
562697,0.5541,80242.5,25.11,48.08,993.96
564697,0.5539,80273.1,25.12,48.08,993.97
566697,0.5548,80120.5,25.11,48.05,993.95
568697,0.5558,79968.5,25.11,48.08,993.97
570697,0.5554,80029.3,25.11,48.09,993.97
572697,0.5558,79968.5,25.11,48.08,993.95
574697,0.5559,79938.2,25.11,48.10,993.94
576697,0.5559,79938.2,25.11,48.10,993.93
578697,0.5561,79907.8,25.12,48.11,993.93
580697,0.5558,79968.5,25.12,48.10,993.92
582697,0.5559,79938.2,25.12,48.09,993.92
584697,0.5558,79968.5,25.12,48.10,993.96
586697,0.5558,79968.5,25.11,48.13,993.94
588697,0.5556,79998.9,25.12,48.14,993.95
590697,0.5563,79877.5,25.12,48.18,993.97
592697,0.5558,79968.5,25.11,48.19,993.92
594697,0.5567,79817.0,25.12,48.19,993.96
596697,0.5558,79968.5,25.12,48.19,993.95
598697,0.5544,80181.5,25.11,48.18,993.96
600697,0.5546,80151.0,25.11,48.17,993.94
602697,0.5537,80303.6,25.11,48.17,993.96
604697,0.5533,80364.9,25.12,48.16,993.97
606697,0.5541,80242.5,25.11,48.17,993.94
608697,0.5541,80242.5,25.11,48.18,993.90
610697,0.5541,80242.5,25.11,48.19,993.94
612697,0.5533,80364.9,25.11,48.18,993.96
614697,0.5537,80303.6,25.11,48.13,993.94
616697,0.5535,80334.2,25.11,48.13,993.95
618697,0.5541,80242.5,25.11,48.11,993.93
620697,0.5531,80395.5,25.12,48.13,993.95
622697,0.5539,80273.1,25.11,48.17,993.95
624697,0.5546,80151.0,25.11,48.18,993.98
626697,0.5550,80090.1,25.11,48.15,993.92
628697,0.5554,80029.3,25.11,48.22,993.90
630697,0.5558,79968.5,25.11,48.13,993.96
632697,0.5558,79968.5,25.11,48.13,993.94
634697,0.5554,80029.3,25.11,48.18,993.92
636697,0.5571,79756.5,25.12,48.13,993.96
638697,0.5554,80029.3,25.11,48.17,993.94
640697,0.5556,79998.9,25.11,48.13,993.91
642697,0.5558,79968.5,25.11,48.17,993.95
644697,0.5558,79968.5,25.11,48.17,993.92
646697,0.5558,79968.5,25.11,48.18,993.93
648697,0.5558,79968.5,25.11,48.18,993.92
650697,0.5554,80029.3,25.11,48.22,993.90
652697,0.5558,79968.5,25.11,48.22,993.91
654697,0.5558,79968.5,25.12,48.23,993.96
656697,0.5567,79817.0,25.11,48.22,993.93
658697,0.5563,79877.5,25.11,48.23,993.94
660697,0.5567,79817.0,25.11,48.24,993.90
662697,0.5554,80029.3,25.11,48.22,993.91
664697,0.5559,79938.2,25.11,48.22,993.96
666697,0.5550,80090.1,25.11,48.22,993.92
668697,0.5558,79968.5,25.11,48.22,993.92
670697,0.5554,80029.3,25.11,48.20,993.92
672697,0.5558,79968.5,25.10,48.20,993.92
674697,0.5558,79968.5,25.11,48.19,993.90
676697,0.5563,79877.5,25.11,48.15,993.94
678697,0.5567,79817.0,25.10,48.28,993.88
680697,0.5565,79847.3,25.11,48.15,993.94
682697,0.5558,79968.5,25.10,48.16,993.93
684697,0.5558,79968.5,25.10,48.22,993.95
686697,0.5561,79907.8,25.10,48.20,993.92
688697,0.5554,80029.3,25.10,48.20,993.94
690697,0.5554,80029.3,25.10,48.33,993.94
692697,0.5559,79938.2,25.10,48.21,993.92
694697,0.5559,79938.2,25.10,48.21,993.95
696697,0.5563,79877.5,25.09,48.17,993.93
698697,0.5556,79998.9,25.09,48.21,993.91
700697,0.5559,79938.2,25.09,48.21,993.93
702697,0.5563,79877.5,25.09,48.23,993.92
704697,0.5563,79877.5,25.09,48.21,993.94
706697,0.5559,79938.2,25.09,48.21,993.90
708697,0.5556,79998.9,25.09,48.23,993.92
710697,0.5561,79907.8,25.09,48.23,993.90
712697,0.5556,79998.9,25.09,48.23,993.92
714697,0.5552,80059.7,25.09,48.24,993.91
716697,0.5563,79877.5,25.09,48.26,993.93
718697,0.5565,79847.3,25.08,48.26,993.90
720697,0.5565,79847.3,25.09,48.27,993.93
722697,0.5561,79907.8,25.09,48.27,993.93
724697,0.5563,79877.5,25.08,48.28,993.92
726697,0.5563,79877.5,25.09,48.26,993.94
728697,0.5569,79786.8,25.08,48.26,993.94
730697,0.5559,79938.2,25.08,48.27,993.94
732697,0.5558,79968.5,25.08,48.27,993.92
734697,0.5563,79877.5,25.08,48.26,993.93
736697,0.5563,79877.5,25.08,48.26,993.92
738697,0.5556,79998.9,25.08,48.26,993.92
740697,0.5554,80029.3,25.08,48.26,993.95
742697,0.5559,79938.2,25.09,48.23,993.91
744697,0.5554,80029.3,25.09,48.21,993.91
746697,0.5539,80273.1,25.08,48.03,993.92
748697,0.5546,80151.0,25.09,48.21,993.92
750697,0.5543,80212.0,25.08,48.24,993.93
752697,0.5537,80303.6,25.08,48.33,993.93
754697,0.5539,80273.1,25.08,48.25,993.92
756697,0.5539,80273.1,25.08,48.25,993.92
758697,0.5543,80212.0,25.08,48.23,993.94
760697,0.5541,80242.5,25.08,48.26,993.92
762697,0.5541,80242.5,25.08,48.27,993.93
764697,0.5546,80151.0,25.07,48.27,993.92
766697,0.5546,80151.0,25.08,48.26,993.93
768697,0.5537,80303.6,25.07,48.26,993.90
770697,0.5535,80334.2,25.07,48.26,993.94
772697,0.5541,80242.5,25.08,48.27,993.91
774697,0.5541,80242.5,25.07,48.27,993.92
776697,0.5554,80029.3,25.07,48.28,993.94
778697,0.5554,80029.3,25.07,48.29,993.92
780697,0.5554,80029.3,25.07,48.29,993.93
782697,0.5567,79817.0,25.07,48.29,993.93
784697,0.5558,79968.5,25.08,48.28,993.92
786697,0.5561,79907.8,25.07,48.28,993.96
788697,0.5558,79968.5,25.07,48.27,993.94
790697,0.5559,79938.2,25.07,48.26,993.91
792697,0.5565,79847.3,25.07,48.26,993.91
794697,0.5563,79877.5,25.07,48.27,993.94
796697,0.5554,80029.3,25.07,48.26,993.95
798697,0.5559,79938.2,25.07,48.27,993.94
800697,0.5558,79968.5,25.07,48.27,993.96
802697,0.5554,80029.3,25.07,48.25,993.90
804697,0.5558,79968.5,25.07,48.25,993.93
806697,0.5558,79968.5,25.07,48.26,993.94
808697,0.5558,79968.5,25.06,48.22,993.93
810697,0.5556,79998.9,25.06,48.28,993.94
812697,0.5558,79968.5,25.06,48.28,993.93
814697,0.5554,80029.3,25.06,48.43,993.92
816697,0.5554,80029.3,25.06,48.27,993.94
818697,0.5550,80090.1,25.07,48.28,993.92
820697,0.5546,80151.0,25.06,48.41,993.94
822697,0.5544,80181.5,25.06,48.30,993.94
824697,0.5546,80151.0,25.07,48.30,993.93
826697,0.5543,80212.0,25.06,48.33,993.94
828697,0.5548,80120.5,25.06,48.30,993.94
830697,0.5541,80242.5,25.06,48.29,993.89
832697,0.5544,80181.5,25.05,48.30,993.91
834697,0.5541,80242.5,25.06,48.27,993.93
836697,0.5541,80242.5,25.06,48.26,993.90
838697,0.5539,80273.1,25.06,48.28,993.92
840697,0.5535,80334.2,25.06,48.28,993.91
842697,0.5535,80334.2,25.06,48.28,993.89
844697,0.5535,80334.2,25.06,48.29,993.88
846697,0.5541,80242.5,25.06,48.29,993.92
848697,0.5541,80242.5,25.06,48.29,993.93
850697,0.5541,80242.5,25.06,48.29,993.92
852697,0.5543,80212.0,25.05,48.29,993.93
854697,0.5535,80334.2,25.06,48.29,993.92
856697,0.5533,80364.9,25.06,48.30,993.89
858697,0.5537,80303.6,25.05,48.28,993.90
860697,0.5543,80212.0,25.06,48.33,993.93
862697,0.5533,80364.9,25.05,48.30,993.90
864697,0.5537,80303.6,25.06,48.30,993.91
866697,0.5548,80120.5,25.05,48.31,993.91
868697,0.5544,80181.5,25.05,48.32,993.93
870697,0.5546,80151.0,25.05,48.34,993.90
872697,0.5548,80120.5,25.05,48.38,993.92
874697,0.5552,80059.7,25.05,48.37,993.89
876697,0.5556,79998.9,25.05,48.52,993.88
878697,0.5559,79938.2,25.06,48.36,993.92
880697,0.5559,79938.2,25.05,48.38,993.88
882697,0.5558,79968.5,25.05,48.50,993.88
884697,0.5561,79907.8,25.04,48.39,993.90
886697,0.5563,79877.5,25.05,48.39,993.89
888697,0.5563,79877.5,25.05,48.38,993.92
890697,0.5552,80059.7,25.05,48.35,993.94
892697,0.5558,79968.5,25.05,48.35,993.91
894697,0.5548,80120.5,25.04,48.38,993.90
896697,0.5546,80151.0,25.04,48.43,993.86
898697,0.5543,80212.0,25.04,48.43,993.91
900697,0.5543,80212.0,25.03,48.43,993.91
902697,0.5533,80364.9,25.04,48.43,993.92
904697,0.5541,80242.5,25.03,48.44,993.90
906697,0.5539,80273.1,25.03,48.44,993.93
908697,0.5546,80151.0,25.03,48.43,993.90
910697,0.5543,80212.0,25.03,48.43,993.91
912697,0.5544,80181.5,25.04,48.44,993.92
914697,0.5550,80090.1,25.04,48.44,993.90
916697,0.5533,80364.9,25.03,48.41,993.90
918697,0.5541,80242.5,25.03,48.40,993.91
920697,0.5550,80090.1,25.04,48.39,993.92
922697,0.5544,80181.5,25.04,48.39,993.93
924697,0.5541,80242.5,25.04,48.41,993.91
926697,0.5548,80120.5,25.04,48.43,993.94
928697,0.5548,80120.5,25.04,48.44,993.92
930697,0.5548,80120.5,25.04,48.44,993.92
932697,0.5558,79968.5,25.03,48.58,993.90
934697,0.5558,79968.5,25.04,48.44,993.91
936697,0.5558,79968.5,25.03,48.43,993.90
938697,0.5558,79968.5,25.04,48.48,993.92
940697,0.5554,80029.3,25.04,48.46,993.89
942697,0.5563,79877.5,25.03,48.46,993.92
944697,0.5559,79938.2,25.04,48.31,993.92
946697,0.5554,80029.3,25.04,48.38,993.91
948697,0.5558,79968.5,25.04,48.42,993.91
950697,0.5554,80029.3,25.04,48.43,993.90
952697,0.5554,80029.3,25.04,48.40,993.95
954697,0.5556,79998.9,25.04,48.40,993.91
956697,0.5550,80090.1,25.04,48.41,993.90
958697,0.5546,80151.0,25.04,48.45,993.90
960697,0.5548,80120.5,25.04,48.45,993.89
962697,0.5541,80242.5,25.04,48.47,993.93
964697,0.5546,80151.0,25.04,48.46,993.91
966697,0.5543,80212.0,25.03,48.46,993.90
968697,0.5544,80181.5,25.04,48.47,993.93
970697,0.5541,80242.5,25.03,48.48,993.93
972697,0.5539,80273.1,25.04,48.50,993.94
974697,0.5543,80212.0,25.03,48.51,993.92
976697,0.5541,80242.5,25.03,48.50,993.93
978697,0.5535,80334.2,25.03,48.50,993.90
980697,0.5544,80181.5,25.03,48.48,993.91
982697,0.5541,80242.5,25.03,48.47,993.90
984697,0.5533,80364.9,25.03,48.50,993.91
986697,0.5537,80303.6,25.03,48.48,993.90
988697,0.5541,80242.5,25.03,48.47,993.90
990697,0.5543,80212.0,25.03,48.47,993.93
992697,0.5535,80334.2,25.03,48.48,993.94
994697,0.5535,80334.2,25.03,48.48,993.96
996697,0.5537,80303.6,25.03,48.50,993.97
998697,0.5533,80364.9,25.03,48.52,993.93
1000697,0.5537,80303.6,25.03,48.59,993.94
1002697,0.5544,80181.5,25.03,48.53,993.93
1004697,0.5539,80273.1,25.03,48.54,993.93
1006697,0.5546,80151.0,25.03,48.50,993.94
1008697,0.5554,80029.3,25.03,48.55,993.95
1010697,0.5546,80151.0,25.03,48.52,993.93
1012697,0.5554,80029.3,25.03,48.58,993.96
1014697,0.5561,79907.8,25.03,48.54,993.95
1016697,0.5559,79938.2,25.03,48.53,993.93
1018697,0.5563,79877.5,25.03,48.52,993.94
1020697,0.5565,79847.3,25.03,48.51,993.93
1022697,0.5561,79907.8,25.03,48.52,993.92
1024697,0.5561,79907.8,25.02,48.52,993.92
1026697,0.5563,79877.5,25.02,48.55,993.91
1028697,0.5563,79877.5,25.02,48.56,993.94
1030697,0.5563,79877.5,25.02,48.59,993.91
1032697,0.5567,79817.0,25.02,48.57,993.95
1034697,0.5558,79968.5,25.02,48.59,993.94
1036697,0.5561,79907.8,25.02,48.61,993.96
1038697,0.5569,79786.8,25.02,48.58,993.93
1040697,0.5563,79877.5,25.03,48.59,993.96
1042697,0.5565,79847.3,25.02,48.56,993.96
1044697,0.5563,79877.5,25.02,48.56,993.96
1046697,0.5563,79877.5,25.02,48.55,993.95
1048697,0.5565,79847.3,25.02,48.56,993.98
1050697,0.5565,79847.3,25.01,48.57,993.93
1052697,0.5563,79877.5,25.02,48.57,993.95
1054697,0.5563,79877.5,25.02,48.57,993.95
1056697,0.5563,79877.5,25.01,48.57,993.92
1058697,0.5561,79907.8,25.02,48.58,993.93
1060697,0.5571,79756.5,25.02,48.57,993.94
1062697,0.5569,79786.8,25.02,48.58,993.94
1064697,0.5554,80029.3,25.02,48.60,993.95
1066697,0.5561,79907.8,25.02,48.63,993.91
1068697,0.5567,79817.0,25.02,48.63,993.94
1070697,0.5561,79907.8,25.01,48.63,993.93
1072697,0.5563,79877.5,25.01,48.62,993.93
1074697,0.5559,79938.2,25.02,48.56,993.96
1076697,0.5559,79938.2,25.02,48.60,993.94
1078697,0.5550,80090.1,25.01,48.58,993.96
1080697,0.5561,79907.8,25.01,48.46,993.94
1082697,0.5558,79968.5,25.01,48.57,993.93
1084697,0.5554,80029.3,25.02,48.57,993.93
1086697,0.5554,80029.3,25.01,48.60,993.92
1088697,0.5548,80120.5,25.01,48.57,993.94
1090697,0.5554,80029.3,25.01,48.57,993.94
1092697,0.5558,79968.5,25.01,48.57,993.94
1094697,0.5559,79938.2,25.01,48.58,993.92
1096697,0.5558,79968.5,25.01,48.61,993.92
1098697,0.5569,79786.8,25.01,48.62,993.94
1100697,0.5563,79877.5,25.01,48.63,993.96
1102697,0.5563,79877.5,25.01,48.63,993.92
1104697,0.5561,79907.8,25.01,48.65,993.96
1106697,0.5563,79877.5,25.01,48.64,993.94
1108697,0.5563,79877.5,25.01,48.65,993.95
1110697,0.5563,79877.5,25.02,48.65,993.95
1112697,0.5563,79877.5,25.01,48.67,993.95
